system,confidence,precision_iou10,recall_iou10,f1_iou10,pred
Raw + DeMoE-auto,0.4,0.5666666666666667,0.1588785046728972,0.2481751824817518,30
Raw + DeMoE-auto,0.42500000000000004,0.5714285714285714,0.14953271028037382,0.237037037037037,28
Raw + DeMoE-auto,0.45000000000000007,0.5769230769230769,0.14018691588785046,0.22556390977443608,26
Raw + DeMoE-auto,0.475,0.5833333333333334,0.1308411214953271,0.21374045801526714,24
Raw + DeMoE-auto,0.5,0.6086956521739131,0.1308411214953271,0.21538461538461534,23
Raw + DeMoE-auto,0.525,0.6086956521739131,0.1308411214953271,0.21538461538461534,23
Raw + DeMoE-auto,0.55,0.6,0.11214953271028037,0.1889763779527559,20
Raw + DeMoE-auto,0.5750000000000001,0.631578947368421,0.11214953271028037,0.1904761904761905,19
Raw + DeMoE-auto,0.6,0.6666666666666666,0.11214953271028037,0.192,18
Raw + DeMoE-auto,0.625,0.6875,0.102803738317757,0.17886178861788618,16
Raw + DeMoE-auto,0.65,0.6875,0.102803738317757,0.17886178861788618,16
Raw + DeMoE-auto,0.675,0.6875,0.102803738317757,0.17886178861788618,16
Raw + DeMoE-auto,0.7000000000000001,0.6875,0.102803738317757,0.17886178861788618,16
Raw + DeMoE-auto,0.725,0.6666666666666666,0.09345794392523364,0.16393442622950818,15
Raw + DeMoE-auto,0.75,0.6428571428571429,0.08411214953271028,0.1487603305785124,14
Raw + DeMoE-auto,0.775,0.6923076923076923,0.08411214953271028,0.15,13
Raw + DeMoE-auto,0.8,0.8888888888888888,0.07476635514018691,0.13793103448275862,9
Raw + DeMoE-auto,0.8250000000000001,1.0,0.028037383177570093,0.05454545454545455,3
Raw + DeMoE-auto,0.85,1.0,0.009345794392523364,0.018518518518518517,1
Raw + DeMoE-auto,0.875,1.0,0.009345794392523364,0.018518518518518517,1
Raw + DeMoE-auto,0.9,0.0,0.0,0.0,0
